,"8,?,?,Lakewoodcity,1,0.19,0.33,0.02,0.9,0.12,0.17,0.34,0.47,0.29,0.32,0.2,1,0.37,0.72,0.34,0.6,0.29,0.15,0.43,0.39,0.4,0.39,0.32,0.27,0.27,0.36,0.41,0.08,0.19,0.1,0.18,0.48,0.27,0.68,0.23,0.41,0.25,0.52,0.68,0.4,0.75,0.75,0.35,0.55,0.59,0.61,0.56,0.74,0.76,0.04,0.14,0.03,0.24,0.27,0.37,0.39,0.07,0.07,0.08,0.08,0.89,0.06,0.14,0.13,0.33,0.39,0.28,0.55,0.09,0.51,0.5,0.21,0.71,0.52,0.05,0.26,0.65,0.14,0.06,0.22,0.19,0.18,0.36,0.35,0.38,0.34,0.38,0.46,0.25,0.04,0,0.12,0.42,0.5,0.51,0.64,0.03,0.13,0.96,0.17,0.06,0.18,0.44,0.13,0.94,0.93,0.03,0.07,0.1,0.07,0.02,0.57,0.29,0.12,0.26,0.2,0.06,0.04,0.9,0.5,0.32,0.14,0.2"
1530,"33,11,47540,Merrimacktown,8,0.02,0.61,0.02,0.97,0.06,0.02,0.43,0.48,0.27,0.11,0,0.08,0.68,0.9,0.22,0.67,0.18,0.1,0.33,0.62,0.48,0.46,0.44,0.28,0.32,0.49,0.54,0,0.05,0.07,0.13,0.53,0.29,0.84,0.73,0.24,0.24,0.6,0.3,0.35,0.31,0.31,0.61,0.89,0.9,0.93,0.86,0.68,0.7,0,0.09,0.01,0.17,0.18,0.18,0.29,0.04,0.04,0.04,0.06,0.9,0.04,0.18,0.21,0.67,0.69,0.44,0.85,0.03,0.36,0.5,0.02,0.77,0.82,0.13,0.42,0.81,0.02,0.09,0.36,0.34,0.32,0.74,0.7,0.82,0.8,0.36,0.63,0.47,0,0,0.11,0.3,0.53,0.58,0.34,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.09,0.06,0.02,?,?,?,?,0,?,0.01"
1531,"6,?,?,Palmdalecity,8,0.09,0.69,0.12,0.63,0.27,0.41,0.35,0.51,0.25,0.12,0.11,1,0.5,0.76,0.21,0.32,0.17,0.4,0.3,0.46,0.32,0.34,0.39,0.18,0.32,0.29,0.35,0.05,0.22,0.18,0.34,0.2,0.44,0.62,0.52,0.2,0.34,0.36,0.48,0.3,0.53,0.52,0.72,0.72,0.71,0.72,0.67,0.38,0.3,0.04,0.29,0.06,0.44,0.49,0.53,0.6,0.42,0.4,0.4,0.41,0.63,0.28,0.45,0.46,0.76,0.75,0.71,0.65,0.41,0.38,0.5,0.13,0.59,0.65,0.06,0.23,0.98,0.14,0.13,0.41,0.37,0.34,0.5,0.49,0.55,0.48,0.61,0.9,0.24,0,0,0.4,0.55,0.03,0.62,0.65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.22,0.07,0.05,?,?,?,?,0,?,0.49"
1532,"6,?,?,ElSegundocity,8,0.01,0.23,0.02,0.86,0.31,0.17,0.25,0.51,0.25,0.3,0.02,1,0.57,0.73,0.35,0.63,0.27,0.09,0.36,0.58,0.63,0.64,0.49,0.36,0.4,0.37,0.72,0.01,0.1,0.1,0.14,0.52,0.16,0.76,0.71,0.17,0.14,0.74,0.7,0.59,0.74,0.75,0.32,0.6,0.66,0.86,0.45,0.45,0.56,0,0.06,0.01,0.4,0.35,0.43,0.43,0.37,0.28,0.31,0.29,0.76,0.13,0.16,0.12,0.26,0.39,0.24,0.28,0.18,0.76,0,0.02,0.78,0.25,0.05,0.15,0.44,0.11,0.11,1,0.99,0.97,0.78,0.77,0.94,0.75,0.43,0.85,0.08,0,0,0.39,0.42,0.33,0.69,0.58,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.23,0.04,?,?,?,?,0,?,0.18"
1533,"6,?,?,GardenGrovecity,8,0.21,0.73,0.03,0.5,1,0.43,0.43,0.57,0.37,0.26,0.23,1,0.47,0.72,0.2,0.38,0.32,0.45,0.43,0.41,0.3,0.36,0.43,0.22,0.23,0.25,0.3,0.13,0.27,0.39,0.44,0.25,0.38,0.59,0.59,0.2,0.46,0.34,0.48,0.55,0.56,0.54,0.76,0.64,0.58,0.76,0.61,0.5,0.45,0.06,0.21,0.29,0.54,0.61,0.71,0.79,1,1,1,1,0.31,0.85,0.78,0.76,0.78,0.65,0.91,0.44,0.85,0.51,0.5,0.08,0.9,0.51,0.1,0.13,0.5,0.13,0.28,0.55,0.52,0.48,0.73,0.69,0.82,0.68,0.83,0.63,0.11,0.03,0.03,0.91,0.37,0.43,0.62,0.59,0.02,0.09,0.97,0.12,0.03,0.08,0.26,0.09,0.53,0.49,0.04,0.17,0.52,0.19,0.02,0.43,0.58,0.05,0.67,0.17,0.05,0.05,0.78,0.5,0.37,0.15,0.25"
1534,"34,3,13570,CliffsideParkborough,8,0.02,0.27,0.04,0.82,0.46,0.2,0.22,0.41,0.22,0.64,0.03,1,0.48,0.49,0.28,0.6,0.58,0.22,0.47,0.5,0.64,0.65,0.48,0.4,0.47,0.38,0.66,0.01,0.11,0.47,0.43,0.42,0.35,0.48,0.35,0.3,0.32,0.52,0.31,0.46,0.34,0.34,0.34,0.72,0.74,0.89,0.65,0.22,0.16,0,0.11,0.04,0.41,0.48,0.49,0.51,0.9,0.91,0.85,0.81,0.25,0.48,0.19,0.16,0.3,0.34,0.31,0.37,0.2,0.79,0,0.05,0.56,0.37,0.03,0.37,0.4,0.09,0.14,0.59,0.59,0.59,0.57,0.62,0.79,0.61,0.45,0.51,0.85,0,0,0.93,0.38,0.66,0.61,0.54,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1,1,?,?,?,?,0,?,0.05"
1535,"22,?,?,Shreveportcity,8,0.3,0.42,0.87,0.3,0.03,0.02,0.45,0.47,0.3,0.43,0.31,1,0.17,0.44,0.17,0.31,0.5,0.53,0.45,0.19,0.22,0.38,0.14,0.2,0.25,0.32,0.34,0.45,0.67,0.34,0.44,0.31,0.79,0.34,0.27,0.59,0.37,0.42,0.68,0.45,0.71,0.73,0.54,0.29,0.24,0.29,0.25,0.57,0.54,0.39,0.83,0.01,0.45,0.45,0.47,0.45,0.03,0.03,0.03,0.02,0.97,0.03,0.37,0.32,0.44,0.45,0.46,0.51,0.23,0.5,0.5,0.63,0.43,0.52,1,0.69,0.52,0.39,0.44,0.07,0.08,0.1,0.12,0.18,0.2,0.2,0.59,0.42,0.47,0.07,0.03,0.03,0.77,0.62,0.81,0.78,0.08,0.2,0.92,0.2,0.26,0.49,0.84,0.2,0.68,0.51,0.77,0,0.13,0.54,0.17,0.64,0.34,0.29,0.17,0.19,0.25,0.04,0.45,0.5,1,0.09,0.53"
1536,"21,?,?,Danvillecity,8,0,0.38,0.3,0.76,0.02,0.01,0.57,0.54,0.43,0.55,0,0,0.16,0.31,0.53,0.38,0.67,0.59,0.59,0.19,0.18,0.19,0.18,0.05,0.21,0.07,0.2,0.02,0.53,0.5,0.58,0.25,0.51,0.36,0.49,0.52,0.57,0.32,0.45,0.41,0.56,0.54,0.33,0.49,0.42,0.46,0.36,0.74,0.65,0.01,0.29,0,0.19,0.49,0.61,0.6,0.01,0.02,0.02,0.02,0.98,0.01,0.1,0.1,0.29,0.31,0.32,0.48,0.06,0.53,0.5,0.01,0.77,0.49,0.07,0.45,0.52,0.54,0.07,0.09,0.08,0.09,0.09,0.16,0.16,0.13,0.44,0.3,0.24,0,0,0.02,0.84,0.49,0.57,0.76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.19,0.02,?,?,?,?,0,?,0.32"
1537,"6,?,?,Highlandcity,8,0.04,0.64,0.21,0.59,0.29,0.42,0.46,0.56,0.33,0.19,0.05,1,0.33,0.63,0.26,0.31,0.29,0.68,0.54,0.3,0.25,0.28,0.24,0.18,0.24,0.29,0.32,0.05,0.41,0.28,0.44,0.21,0.57,0.49,0.21,0.48,0.44,0.29,0.65,0.42,0.73,0.72,0.67,0.5,0.48,0.55,0.44,0.27,0.25,0.03,0.41,0.03,0.3,0.45,0.49,0.6,0.24,0.32,0.32,0.36,0.66,0.28,0.5,0.5,0.7,0.63,0.78,0.49,0.52,0.52,0.5,0.06,0.59,0.53,0.27,0.22,0.63,0.39,0.21,0.22,0.23,0.27,0.41,0.39,0.42,0.39,0.69,0.61,0.12,0,0,0.34,0.49,0.26,0.52,0.61,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.21,0.06,?,?,?,?,0,?,0.36"
1538,"12,?,?,DeerfieldBeachcity,8,0.06,0.1,0.33,0.72,0.05,0.07,0.1,0.25,0.12,1,0.07,1,0.25,0.04,0.15,0.59,1,0.12,0.65,0.32,0.41,0.46,0.2,0.4,0.29,0.29,0.44,0.04,0.25,0.3,0.44,0.25,0.27,0.21,0.17,0.22,0.25,0.37,0.55,0.29,0.46,0.52,0.14,0.46,0.41,0.59,0.3,0.68,0.73,0.03,0.31,0.05,0.21,0.25,0.29,0.36,0.23,0.24,0.24,0.28,0.75,0.19,0.17,0.12,0.12,0.09,0.22,0.65,0.17,0.91,0,0.3,0.14,0.68,0.08,0.42,0.77,0.17,0.28,0.21,0.21,0.23,0.5,0.5,0.58,0.52,0.59,0.59,0.36,0,0,0.45,0.11,0.53,0.56,0.46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.03,0.37,0.08,?,?,?,?,0,?,0.34"
1539,"36,65,76540,Uticacity,8,0.09,0.32,0.2,0.8,0.07,0.06,0.4,0.49,0.36,0.64,0.11,1,0.14,0.25,0.12,0.41,0.69,0.7,0.64,0.19,0.19,0.21,0.15,0.08,0.13,0.1,0.16,0.13,0.58,0.52,0.57,0.18,0.63,0.26,0.34,0.54,0.37,0.33,0.53,0.62,0.48,0.52,0.42,0.34,0.38,0.32,0.39,0.42,0.42,0.08,0.5,0.02,0.47,0.39,0.37,0.38,0.18,0.13,0.11,0.11,0.76,0.14,0.25,0.19,0.29,0.37,0.28,0.38,0.07,0.47,0.5,0.15,0.64,0.36,0.24,0.55,0,0.62,0.29,0.12,0.12,0.11,0.16,0.18,0.19,0.18,0.63,0.41,0.6,0.1,0,0.16,0.88,0.67,0.84,0.86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.05,0.35,0.28,?,?,?,?,0,?,0.18"
1540,"45,?,?,Aikencity,8,0.02,0.39,0.6,0.51,0.04,0.01,0.34,0.38,0.23,0.54,0.03,1,0.36,0.48,0.21,0.54,0.57,0.4,0.65,0.39,0.36,0.47,0.19,0.21,0.31,0.17,0.39,0.03,0.41,0.33,0.35,0.53,0.28,0.39,0.58,0.42,0.34,0.64,0.48,0.32,0.52,0.52,0.44,0.54,0.51,0.66,0.46,0.51,0.52,0.02,0.37,0,0.31,0.35,0.29,0.32,0.03,0.03,0.02,0.02,0.96,0.03,0.23,0.21,0.39,0.39,0.41,0.59,0.13,0.39,0.5,0.04,0.62,0.6,0.23,0.47,0.6,0.38,0.01,0.13,0.17,0.21,0.14,0.24,0.33,0.28,0.48,0.38,0.36,0.02,0,0.04,0.44,0.47,0.5,0.33,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.12,0,?,?,?,?,0,?,0.21"
1541,"6,?,?,Fullertoncity,8,0.17,0.51,0.04,0.62,0.75,0.39,0.45,0.61,0.45,0.31,0.18,1,0.5,0.72,0.22,0.52,0.3,0.22,0.43,0.51,0.48,0.53,0.38,0.37,0.36,0.28,0.35,0.1,0.25,0.27,0.28,0.48,0.26,0.64,0.53,0.32,0.34,0.5,0.48,0.59,0.52,0.51,0.57,0.66,0.63,0.69,0.63,0.43,0.4,0.05,0.21,0.18,0.47,0.55,0.58,0.62,0.78,0.8,0.77,0.75,0.46,0.56,0.49,0.43,0.54,0.55,0.54,0.44,0.51,0.58,0,0.11,0.82,0.45,0.07,0.07,0.56,0.12,0.1,0.6,0.63,0.74,0.7,0.65,0.74,0.64,0.67,0.59,0.17,0.04,0.06,0.7,0.39,0.42,0.56,0.61,0.02,0.11,0.97,0.14,0.02,0.08,0.21,0.11,0.71,0.8,0,0.26,0.37,0.21,0.04,0.93,0.45,0.06,0.43,0.13,0.05,0.04,0.78,1,0.75,0.17,0.22"
1542,"29,?,?,Berkeleycity,8,0,0.57,1,0,0.02,0.01,0.54,0.57,0.37,0.28,0.02,1,0.24,0.7,0.09,0.26,0.4,0.49,0.44,0.23,0.19,0.32,0.23,0.16,0.06,0,0.83,0.02,0.41,0.37,0.5,0.11,0.82,0.51,0.55,0.37,0.61,0.17,0.66,0.58,0.86,0.82,0.64,0.16,0.17,0.24,0.13,0.81,0.84,0.02,0.66,0,0.14,0.43,0.49,0.41,0.01,0.02,0.03,0.02,0.96,0.03,0.43,0.42,0.63,0.59,0.65,0.64,0.23,0.6,0,0.02,0.63,0.66,1,0.46,0.35,0.14,0.06,0.08,0.05,0.04,0.24,0.26,0.29,0.33,0.52,0.3,0.24,0,0,0.02,0.8,0.7,0.67,0.86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.21,0.23,?,?,?,?,0,?,0.35"
1543,"27,53,43000,Minneapoliscity,8,0.58,0.25,0.25,0.67,0.26,0.04,0.34,0.59,0.39,0.38,0.58,1,0.23,0.53,0.2,0.51,0.39,0.51,0.35,0.28,0.33,0.39,0.2,0.1,0.14,0.27,0.31,0.6,0.49,0.22,0.29,0.49,0.42,0.56,0.3,0.62,0.33,0.51,0.65,0.84,0.58,0.63,0.38,0.29,0.33,0.35,0.25,0.5,0.48,0.47,0.73,0.15,0.59,0.64,0.69,0.72,0.25,0.24,0.24,0.23,0.85,0.11,0.27,0.17,0.23,0.32,0.2,0.41,0.16,0.73,0,0.64,0.73,0.38,0.48,0.32,0,0.23,0.37,0.15,0.14,0.14,0.31,0.33,0.38,0.29,0.61,0.42,0.4,0.62,0.06,0.18,0.62,0.41,0.6,0.58,0.17,0.21,0.88,0.17,0.16,0.17,0.26,0.21,0.66,0.87,0.08,0.06,0.09,0.1,0.06,0.71,0.2,0.16,0.56,0.92,0.31,0.15,0.09,0.5,0.22,0.17,0.75"
1544,"21,?,?,Florencecity,8,0.01,0.44,0.02,0.97,0.06,0.01,0.43,0.52,0.32,0.33,0.03,1,0.32,0.65,0.25,0.45,0.45,0.28,0.37,0.35,0.26,0.25,0.24,0,0.24,0.5,0.56,0.01,0.23,0.34,0.4,0.21,0.16,0.63,0.41,0.28,0.52,0.37,0.49,0.3,0.6,0.58,0.51,0.64,0.68,0.7,0.7,0.65,0.62,0,0.1,0,0.52,0.88,0.77,0.67,0.07,0.1,0.08,0.06,0.96,0.04,0.21,0.2,0.47,0.62,0.31,0.53,0.07,0.51,0.5,0.02,0.83,0.46,0,0.09,0.69,0.09,0.06,0.15,0.13,0.13,0.29,0.29,0.27,0.27,0.38,0.13,0.21,0,0,0.05,0.69,0.46,0.42,0.59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.19,0.12,?,?,?,?,0,?,0.19"
1545,"36,77,54881,Oneontacity,8,0.01,0.72,0.04,0.94,0.07,0.04,1,1,1,0.36,0,0,0.15,0.48,0.21,0.59,0.55,0.27,0.42,0.27,0.16,0.15,0.25,0.18,0.21,0.1,0.27,0.02,0.62,0.26,0.34,0.5,0.31,0.23,0.16,1,0.18,0.51,0.22,1,0.22,0.23,0.31,0.45,0.55,0.47,0.55,0.33,0.6,0,0.2,0,0.28,0.3,0.26,0.34,0.06,0.06,0.05,0.06,0.9,0.04,0.17,0.16,0.27,0.35,0.26,0.34,0.06,0.51,0.5,0.01,0.74,0.32,0.15,0.24,0,0.27,0,0.14,0.14,0.14,0.23,0.25,0.31,0.24,0.87,0.36,0.44,0,0,0.09,0.81,0.26,0.15,0.74,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.27,0.23,?,?,?,?,0,?,0.05"
1546,"6,?,?,Carpinteriacity,8,0.01,0.51,0.01,0.72,0.13,0.68,0.43,0.5,0.35,0.4,0.02,1,0.38,0.58,0.55,0.48,0.47,0.25,0.36,0.4,0.36,0.39,0.34,0.22,0.34,0.25,0.31,0.01,0.14,0.35,0.4,0.36,0.19,0.66,0.3,0.38,0.35,0.37,0.58,0.51,0.66,0.64,0.58,0.61,0.57,0.72,0.47,0.62,0.77,0,0.11,0.02,0.5,0.55,0.56,0.63,0.65,0.63,0.59,0.6,0.47,0.72,0.54,0.47,0.54,0.4,0.71,0.38,0.55,0.7,0,0.03,0.62,0.47,0.05,0.28,0.69,0.19,0.25,0.8,0.78,0.75,0.66,0.71,0.88,0.7,0.74,0.79,0.19,0.04,0,0.56,0.48,0.44,0.61,0.66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.42,0.16,?,?,?,?,0,?,0.2"
1547,"25,5,68750,Swanseatown,8,0.01,0.58,0.01,0.99,0.02,0.01,0.48,0.44,0.33,0.45,0.02,0.66,0.47,0.58,0.53,0.61,0.6,0.37,0.66,0.43,0.34,0.33,0,0.09,0.38,0.33,0.24,0.01,0.12,0.41,0.46,0.29,0.26,0.61,0.47,0.37,0.37,0.38,0.21,0.42,0.22,0.22,0.58,0.87,0.83,0.91,0.8,0.58,0.7,0,0.08,0.01,0.08,0.09,0.07,0.2,0.03,0.03,0.02,0.05,0.81,0.09,0.25,0.27,0.63,0.64,0.36,0.91,0.06,0.3,0.5,0.01,0.86,0.89,0.66,0.71,0.35,0.03,0.09,0.33,0.32,0.31,0.27,0.36,0.43,0.36,0.42,0.37,0.43,0,0,0.16,0.74,0.93,0.92,0.83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.07,0.06,0.02,?,?,?,?,0,?,0.08"
1548,"13,?,?,Alpharettacity,8,0,0.34,0.05,0.93,0.08,0.03,0.28,0.5,0.26,0.18,0.02,0.99,0.54,0.83,0.45,0.52,0.22,0.07,0.21,0.52,0.53,0.52,0.37,0.25,0.45,0.32,0.5,0,0.08,0.07,0.1,0.6,0.1,0.8,0.25,0.25,0.11,0.63,0.5,0.3,0.66,0.61,0.37,0.74,0.79,0.86,0.56,0.45,0.49,0,0.09,0,0.58,0.67,0.69,0.64,0.2,0.2,0.19,0.16,0.87,0.08,0.07,0.07,0.37,0.46,0.29,0.52,0.04,0.5,0.5,0.03,0.56,0.47,0.04,0.19,0.96,0.01,0.14,0.26,0.28,0.32,0.6,0.52,0.53,0.54,0.28,0.63,0.35,0,0,0.14,0.31,0.18,0.06,0.02,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.05,0.06,0.06,?,?,?,?,0,?,0.03"
1549,"9,3,87000,Windsortown,8,0.03,0.53,0.34,0.68,0.14,0.06,0.33,0.4,0.23,0.44,0.04,0.88,0.64,0.72,0.26,0.68,0.45,0.1,0.51,0.61,0.5,0.51,0.44,0.18,0.38,0.31,0.5,0.01,0.05,0.23,0.3,0.45,0.25,0.65,0.46,0.35,0.28,0.58,0.35,0.42,0.37,0.37,0.51,0.79,0.78,0.87,0.75,0.5,0.67,0.01,0.11,0.02,0.15,0.19,0.29,0.39,0.1,0.11,0.15,0.19,0.81,0.07,0.21,0.22,0.54,0.57,0.35,0.81,0.04,0.31,0.5,0.02,0.87,0.78,0,0.41,0.5,0.02,0,0.44,0.43,0.4,0.6,0.65,0.67,0.65,0.4,0.59,0.37,0.13,0,0.28,0.54,0.62,0.81,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.08,0.08,0.17,?,?,?,?,0,?,0.03"
1550,"21,?,?,Nicholasvillecity,8,0.01,0.49,0.09,0.92,0.01,0.01,0.45,0.56,0.32,0.27,0,0,0.23,0.69,1,0.23,0.35,0.3,0.27,0.21,0.18,0.17,0.22,0.07,0.28,0.17,0.41,0.01,0.33,0.54,0.62,0.15,0.3,0.62,0.39,0.34,0.53,0.19,0.53,0.24,0.64,0.62,0.47,0.63,0.64,0.63,0.75,0.58,0.61,0.01,0.19,0,0,0,0.28,0.4,0,0,0.01,0.01,0.99,0.02,0.14,0.15,0.52,0.52,0.51,0.56,0.12,0.42,0.5,0.01,0.81,0.56,0.03,0.57,0.77,0.54,0.23,0.1,0.08,0.09,0.19,0.21,0.21,0.22,0.45,0.48,0.35,0,0,0.01,0.87,0.45,0.54,0.76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.18,0,?,?,?,?,0,?,0.19"
1551,"23,1,2060,Auburncity,8,0.02,0.39,0.01,0.98,0.04,0.01,0.38,0.45,0.3,0.47,0.04,0.97,0.26,0.5,0.29,0.48,0.52,0.39,0.37,0.28,0.29,0.27,0.32,0.12,0.17,0.17,0.54,0.02,0.28,0.35,0.39,0.3,0.42,0.5,0.52,0.5,0.49,0.39,0.53,0.39,0.53,0.55,0.41,0.57,0.62,0.54,0.56,0.58,0.63,0.01,0.24,0,0.44,0.33,0.36,0.32,0.09,0.06,0.06,0.05,0.7,0.07,0.13,0.13,0.38,0.49,0.28,0.52,0.06,0.57,0,0.04,0.67,0.47,0.13,0.53,0.08,0.32,0.37,0.19,0.18,0.19,0.23,0.28,0.32,0.25,0.47,0.49,0.54,0,0,0.08,0.8,0.56,0.72,0.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.17,0.03,0.03,?,?,?,?,0,?,0.03"
1552,"55,31,78650,Superiorcity,8,0.03,0.34,0.01,0.95,0.05,0.01,0.44,0.47,0.34,0.56,0.04,1,0.15,0.34,0.07,0.46,0.66,0.62,0.45,0.19,0.19,0.19,0.23,0.12,0.05,0.11,0.28,0.04,0.45,0.27,0.38,0.24,0.65,0.35,0.21,0.58,0.43,0.31,0.55,0.49,0.54,0.57,0.39,0.43,0.51,0.48,0.4,0.44,0.49,0.01,0.21,0,0.2,0.21,0.33,0.32,0.02,0.02,0.03,0.03,0.96,0.03,0.14,0.12,0.32,0.4,0.25,0.57,0.05,0.53,0.5,0.03,0.78,0.53,0.69,0.48,0,0.21,0.27,0.04,0.03,0.04,0.1,0.14,0.15,0.13,0.56,0.27,0.46,0.01,0,0.04,0.6,0.65,0.78,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.11,0.06,0.1,?,?,?,?,0,?,0.11"
1553,"45,?,?,WestColumbiacity,8,0,0.26,0.35,0.71,0.04,0.01,0.34,0.52,0.37,0.52,0.02,1,0.19,0.55,0.11,0.39,0.54,0.28,0.49,0.23,0.23,0.26,0.17,0,0.36,0.8,0.4,0.01,0.38,0.38,0.5,0.24,0.22,0.58,0.2,0.3,0.36,0.32,0.7,0.44,0.67,0.71,0.3,0.41,0.41,0.5,0.31,0.58,0.7,0.01,0.29,0,0.33,0.42,0.41,0.35,0.03,0.03,0.03,0.02,0.97,0.01,0.12,0.1,0.29,0.26,0.35,0.44,0.12,0.62,0,0.02,0.6,0.47,0.09,0.34,0.42,0.44,0.21,0.1,0.1,0.09,0.22,0.21,0.19,0.23,0.45,0.2,0.28,0,0,0.03,0.75,0.56,0.54,0.76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.18,0.07,?,?,?,?,0,?,0.78"
1554,"25,17,39835,Medfordcity,8,0.08,0.43,0.08,0.9,0.12,0.03,0.38,0.55,0.4,0.55,0.09,1,0.45,0.53,0.18,0.55,0.59,0.26,0.57,0.47,0.4,0.39,0.41,0.26,0.28,0.4,0.41,0.03,0.17,0.25,0.35,0.37,0.35,0.53,0.31,0.58,0.25,0.49,0.2,0.65,0.26,0.25,0.48,0.71,0.73,0.85,0.68,0.53,0.51,0.02,0.14,0.05,0.33,0.32,0.3,0.31,0.27,0.24,0.2,0.19,0.73,0.14,0.24,0.21,0.42,0.53,0.32,0.52,0.05,0.55,0.5,0.04,0.88,0.47,0.07,0.47,0,0.05,0.16,0.5,0.47,0.44,0.46,0.56,0.66,0.58,0.44,0.57,0.56,0.01,0,0.35,0.78,0.74,0.79,0.72,0.01,0.2,0.98,0.19,0,0.02,0.02,0.2,0.98,0.91,0.11,0.04,0,0.1,0.02,0.64,0.17,0.02,0.59,0.94,0,0.01,0.34,0,0.52,0.15,0.32"
1555,"40,?,?,Enidcity,8,0.06,0.35,0.09,0.87,0.08,0.04,0.35,0.45,0.27,0.51,0,0,0.18,0.44,0.67,0.43,0.55,0.3,0.48,0.21,0.23,0.23,0.17,0.15,0.23,0.26,0.3,0.06,0.37,0.29,0.41,0.27,0.41,0.41,0.15,0.5,0.37,0.33,0.51,0.28,0.52,0.54,0.37,0.65,0.64,0.66,0.55,0.5,0.46,0.01,0.1,0,0.28,0.32,0.34,0.41,0.03,0.03,0.03,0.03,0.96,0.02,0.15,0.14,0.34,0.31,0.42,0.56,0.1,0.53,0.5,0.18,0.31,0.59,0.34,0.82,0.46,0.42,0.41,0.02,0.04,0.06,0.12,0.15,0.18,0.18,0.35,0.35,0.29,0.01,0,0.04,0.65,0.47,0.63,0.63,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.21,0.05,0.01,?,?,?,?,0,?,0.37"
1556,"6,?,?,Pinolecity,8,0.01,0.51,0.14,0.56,1,0.18,0.34,0.38,0.23,0.32,0.03,1,0.56,0.69,0.18,0.59,0.38,0.2,0.59,0.53,0.44,0.47,0.38,0.32,0.36,0.35,0.49,0.01,0.08,0.13,0.23,0.32,0.25,0.64,0.28,0.38,0.28,0.41,0.46,0.32,0.52,0.51,0.51,0.7,0.67,0.76,0.74,0.79,0.77,0,0.09,0.02,0.1,0.16,0.26,0.35,0.1,0.14,0.21,0.26,0.63,0.17,0.24,0.25,0.56,0.53,0.6,0.73,0.24,0.31,0.5,0.01,0.88,0.74,0.19,0.32,0.6,0.08,0.09,0.52,0.5,0.49,0.71,0.65,0.76,0.68,0.59,0.57,0.14,0,0,0.43,0.56,0.56,0.65,0.83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.28,0.31,?,?,?,?,0,?,0.33"
1557,"5,?,?,Bentoncity,8,0.01,0.41,0.08,0.93,0.01,0.01,0.39,0.41,0.26,0.52,0,0,0.21,0.39,0.44,0.37,0.62,0.33,0.62,0.24,0.22,0.22,0.15,0.17,0.44,0.18,0.22,0.02,0.34,0.48,0.52,0.21,0.29,0.4,0.45,0.56,0.54,0.35,0.48,0.18,0.46,0.48,0.42,0.7,0.68,0.71,0.76,0.53,0.6,0,0.06,0,0,0,0,0.06,0,0,0,0,0.98,0.01,0.16,0.17,0.44,0.41,0.49,0.63,0.13,0.48,0.5,0.02,0.76,0.65,0.33,0.52,0.52,0.5,0.38,0.08,0.08,0.09,0.11,0.14,0.16,0.22,0.49,0.21,0.46,0,0,0.02,0.77,0.61,0.7,0.74,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.1,0,?,?,?,?,0,?,0.19"
1558,"40,?,?,Stillwatercity,8,0.04,0.41,0.07,0.81,0.28,0.03,1,1,1,0.22,0,0,0.11,0.66,0.86,0.46,0.23,0.13,0.24,0.26,0.19,0.2,0.17,0.15,0.11,0.16,0.26,0.07,0.7,0.14,0.16,0.72,0.38,0.38,0.2,0.93,0.23,0.57,0.22,1,0.3,0.26,0.33,0.68,0.71,0.73,0.7,0.53,0.62,0.01,0.13,0.02,1,1,1,0.95,0.62,0.49,0.43,0.35,0.86,0.06,0.09,0.06,0.23,0.36,0.22,0.27,0.1,0.68,0,0.08,0.58,0.24,0.07,0.57,0.63,0.3,0.09,0.11,0.12,0.13,0.22,0.23,0.23,0.2,1,0.29,0.24,0.01,0,0.21,0.54,0.17,0.1,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.08,0.11,0.01,?,?,?,?,0,?,0.11"
